name,na,nc,ns,fs,fc,pitch,element_width,aperture_width,zlims,angles_range,RF,IQ,type,source,set,path
MYO001,75,128,2688,28.96,6.25,0.3,0.27,38.4,"[5e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/MYO001.hdf5
MYO002,75,128,2688,28.96,6.25,0.3,0.27,38.4,"[5e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/MYO002.hdf5
MYO003,75,128,2688,28.96,6.25,0.3,0.27,38.4,"[5e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/MYO003.hdf5
MYO004,75,128,2688,28.96,6.25,0.3,0.27,38.4,"[5e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/MYO004.hdf5
MYO005,75,128,2688,28.96,6.25,0.3,0.27,38.4,"[5e-3, 55e-3]","[-16, 16]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/MYO005.hdf5
UFL001,75,128,4480,78.125,8.0,0.245,0.215,31.36,"[20e-3, 50e-3]","[-15, 15]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/UFL001.hdf5
UFL002,75,128,4480,78.125,8.0,0.245,0.215,31.36,"[20e-3, 50e-3]","[-15, 15]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/UFL002.hdf5
UFL004,75,128,4480,78.125,8.0,0.245,0.215,31.36,"[20e-3, 50e-3]","[-15, 15]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/UFL004.hdf5
UFL005,75,128,4480,78.125,8.0,0.245,0.215,31.36,"[20e-3, 50e-3]","[-15, 15]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/UFL005.hdf5
EUT003,75,80,1664,12.5,3.125,0.254,0.25,20.3,"[10e-3, 80e-3]","[-16, 16]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/EUT003.hdf5
EUT006,75,80,1664,12.5,3.125,0.254,0.25,20.3,"[10e-3, 80e-3]","[-16, 16]",1,1,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/EUT006.hdf5
